Trial,Time_Bin,Col_ID,Workers,Presence,Col_Size
Discovery,32,H,5,1,83
Discovery,33,H,5,1,83
Discovery,34,H,4,1,83
Discovery,35,H,3,1,83
Discovery,36,H,6,1,83
Discovery,37,H,7,1,83
Discovery,38,H,6,1,83
Discovery,39,H,7,1,83
Discovery,40,H,6,1,83
Discovery,41,H,7,1,83
Discovery,42,H,7,1,83
Discovery,43,H,6,1,83
Discovery,44,H,6,1,83
Discovery,45,H,6,1,83
Discovery,46,H,4,1,83
Discovery,47,H,4,1,83
Discovery,48,H,5,1,83
Discovery,49,H,4,1,83
Discovery,50,H,4,1,83
Discovery,51,H,4,1,83
Discovery,52,H,4,1,83
Discovery,53,H,5,1,83
Discovery,54,H,7,1,83
Discovery,55,H,5,1,83
Discovery,56,H,6,1,83
Discovery,57,H,5,1,83
Discovery,58,H,5,1,83
Discovery,59,H,4,1,83
Discovery,60,H,4,1,83
Discovery,1,J,0,0,37
Discovery,2,J,0,0,37
Discovery,3,J,0,0,37
Discovery,4,J,0,0,37
Discovery,5,J,2,1,37
Discovery,6,J,2,1,37
Discovery,7,J,1,1,37
Discovery,8,J,3,1,37
Discovery,9,J,2,1,37
Discovery,10,J,3,1,37
Discovery,11,J,5,1,37
Discovery,12,J,8,1,37
Discovery,13,J,6,1,37
Discovery,14,J,3,1,37
Discovery,15,J,4,1,37
Discovery,16,J,7,1,37
Discovery,17,J,4,1,37
Discovery,18,J,3,1,37
Discovery,19,J,5,1,37
Discovery,20,J,3,1,37
Discovery,21,J,5,1,37
Discovery,22,J,3,1,37
Discovery,23,J,0,0,37
Discovery,24,J,4,1,37
Discovery,25,J,2,1,37
Discovery,26,J,2,1,37
Discovery,27,J,2,1,37
Discovery,28,J,1,1,37
Discovery,29,J,2,1,37
Discovery,30,J,0,0,37
Discovery,31,J,1,1,37
Discovery,32,J,1,1,37
Discovery,33,J,3,1,37
Discovery,34,J,3,1,37
Discovery,35,J,2,1,37
Discovery,36,J,3,1,37
Discovery,37,J,1,1,37
Discovery,38,J,2,1,37
Discovery,39,J,1,1,37
Discovery,40,J,1,1,37
Discovery,41,J,2,1,37
Discovery,42,J,3,1,37
Discovery,43,J,2,1,37
Discovery,44,J,2,1,37
Discovery,45,J,1,1,37
Discovery,46,J,1,1,37
Discovery,47,J,1,1,37
Discovery,48,J,0,0,37
Discovery,49,J,2,1,37
Discovery,50,J,0,0,37
Discovery,51,J,0,0,37
Discovery,52,J,0,0,37
Discovery,53,J,2,1,37
Discovery,54,J,1,1,37
Discovery,55,J,0,0,37
Discovery,56,J,0,0,37
Discovery,57,J,0,0,37
Discovery,58,J,1,1,37
Discovery,59,J,1,1,37
Discovery,60,J,1,1,37
Discovery,1,L,0,0,41
Discovery,2,L,0,0,41
Discovery,3,L,0,0,41
Discovery,4,L,1,1,41
Discovery,5,L,1,1,41
Discovery,6,L,1,1,41
Discovery,7,L,1,1,41
Discovery,8,L,1,1,41
Discovery,9,L,1,1,41
Discovery,10,L,1,1,41
Discovery,11,L,0,0,41
Discovery,12,L,0,0,41
Discovery,13,L,0,0,41
Discovery,14,L,1,1,41
Discovery,15,L,1,1,41
Discovery,16,L,3,1,41
Discovery,17,L,4,1,41
Discovery,18,L,1,1,41
Discovery,19,L,2,1,41
Discovery,20,L,3,1,41
Discovery,21,L,3,1,41
Discovery,22,L,6,1,41
Discovery,23,L,5,1,41
Discovery,24,L,7,1,41
Discovery,25,L,2,1,41
Discovery,26,L,2,1,41
Discovery,27,L,0,0,41
Discovery,28,L,3,1,41
Discovery,29,L,4,1,41
Discovery,30,L,5,1,41
Discovery,31,L,4,1,41
Discovery,32,L,3,1,41
Discovery,33,L,5,1,41
Discovery,34,L,6,1,41
Discovery,35,L,4,1,41
Discovery,36,L,4,1,41
Discovery,37,L,3,1,41
Discovery,38,L,2,1,41
Discovery,39,L,1,1,41
Discovery,40,L,2,1,41
Discovery,41,L,3,1,41
Discovery,42,L,3,1,41
Discovery,43,L,2,1,41
Discovery,44,L,2,1,41
Discovery,45,L,1,1,41
Discovery,46,L,2,1,41
Discovery,47,L,3,1,41
Discovery,48,L,2,1,41
