Species,BodySize,Spine,Ranking
P_armata,4,3.45,0.280819286
P_rastellata,1.88,0,0.482941144
P_rotoccipita,1.91,0,0.380647641
P_bicolor,1.946,1.441,0.444253609
P_furcata,1.851,2.684,0.450636205
P_rufipes,2.05,2.42,0.707370025
P_flavicornis,1.744,0.454,0.127529452
P_leviuscula,2.1,0.2,0.447640886
P_emmae,1.7,1.25,0.332070831
P_laevigata,1.843,1.3908,0.406716868
P_thrinax,2.006,0.223,0.374036692
